,as_of_date,action,quantity,sec_type,symbol,trading_class,multiplier,price,commission,trade_time,sub_strategy,quantity_direction,hedge_value
344,2022-03-08,BOT,1,FUT,ES,ES,50,4212.25,2.15,20220308  12:08:30,DH,1,-210614.65
345,2022-03-08,BOT,2,FUT,ES,ES,50,4221.0,4.3,20220308  12:12:30,DH,2,-422104.3
346,2022-03-08,BOT,1,FUT,ES,ES,50,4232.75,2.15,20220308  12:16:30,DH,1,-211639.65
347,2022-03-08,BOT,2,FUT,ES,ES,50,4246.0,4.3,20220308  12:18:30,DH,2,-424604.3
348,2022-03-08,SLD,3,FUT,ES,ES,50,4226.0,6.45,20220308  12:26:03,DH,-3,633893.55
349,2022-03-08,BOT,1,FUT,ES,ES,50,4231.25,2.15,20220308  12:28:02,DH,1,-211564.65
350,2022-03-08,BOT,1,FUT,ES,ES,50,4241.25,2.15,20220308  12:30:02,DH,1,-212064.65
351,2022-03-08,SLD,1,FUT,ES,ES,50,4236.5,2.15,20220308  12:32:02,DH,-1,211822.85
352,2022-03-08,BOT,2,FUT,ES,ES,50,4246.0,4.3,20220308  12:34:02,DH,2,-424604.3
353,2022-03-08,SLD,1,FUT,ES,ES,50,4244.0,2.15,20220308  12:36:02,DH,-1,212197.85
354,2022-03-08,BOT,1,FUT,ES,ES,50,4247.0,2.15,20220308  12:38:02,DH,1,-212352.15
355,2022-03-08,BOT,1,FUT,ES,ES,50,4251.0,2.15,20220308  12:40:02,DH,1,-212552.15
356,2022-03-08,SLD,1,FUT,ES,ES,50,4245.25,2.15,20220308  12:42:02,DH,-1,212260.35
357,2022-03-08,BOT,1,FUT,ES,ES,50,4253.75,2.15,20220308  12:44:02,DH,1,-212689.65
358,2022-03-08,SLD,1,FUT,ES,ES,50,4246.0,2.15,20220308  12:52:02,DH,-1,212297.85
359,2022-03-08,BOT,1,FUT,ES,ES,50,4254.5,2.15,20220308  12:54:02,DH,1,-212727.15
360,2022-03-08,BOT,1,FUT,ES,ES,50,4256.25,2.15,20220308  12:58:02,DH,1,-212814.65
361,2022-03-08,BOT,1,FUT,ES,ES,50,4266.25,2.15,20220308  13:04:02,DH,1,-213314.65
362,2022-03-08,BOT,1,FUT,ES,ES,50,4272.0,2.15,20220308  13:10:02,DH,1,-213602.15
363,2022-03-08,SLD,1,FUT,ES,ES,50,4270.0,2.15,20220308  13:14:03,DH,-1,213497.85
