,vol_20_day
2010-03-09 00:00:00,0.11257898290891949
2010-03-10 00:00:00,0.10558597912836827
2010-03-11 00:00:00,0.1005907192626917
2010-03-12 00:00:00,0.09849890133587565
2010-03-15 00:00:00,0.09607278674832044
2010-03-16 00:00:00,0.09552582736002145
2010-03-17 00:00:00,0.08564296441408774
2010-03-18 00:00:00,0.08607156467236361
2010-03-19 00:00:00,0.08624542207625532
2010-03-22 00:00:00,0.09055234185806704
2010-03-23 00:00:00,0.09076620139920345
2010-03-24 00:00:00,0.0732622356878179
2010-03-25 00:00:00,0.07587484363994448
2010-03-26 00:00:00,0.07608165448173333
2010-03-29 00:00:00,0.07668206634383458
2010-03-30 00:00:00,0.07261005959621984
2010-03-31 00:00:00,0.07291827650717697
2010-04-01 00:00:00,0.07570639964829709
2010-04-05 00:00:00,0.0774019806771495
2010-04-06 00:00:00,0.0673641994645069
2010-04-07 00:00:00,0.06695875727671001
2010-04-08 00:00:00,0.07270466987400086
2010-04-09 00:00:00,0.07232529016222951
2010-04-12 00:00:00,0.07383107391583733
2010-04-13 00:00:00,0.07351662312090489
2010-04-14 00:00:00,0.07337969828038408
2010-04-15 00:00:00,0.07783740314179807
2010-04-16 00:00:00,0.07672340969845153
2010-04-19 00:00:00,0.09945478729020087
2010-04-20 00:00:00,0.0969826288750045
2010-04-21 00:00:00,0.09959554909441187
2010-04-22 00:00:00,0.09840828655028637
2010-04-23 00:00:00,0.09571317132924823
2010-04-26 00:00:00,0.09624344750648892
2010-04-27 00:00:00,0.09810434388075107
2010-04-28 00:00:00,0.1323760428866154
2010-04-29 00:00:00,0.13473829582883426
2010-04-30 00:00:00,0.13967183836829017
2010-05-03 00:00:00,0.152896656598594
2010-05-04 00:00:00,0.15700136803704895
2010-05-05 00:00:00,0.17875697099551616
2010-05-06 00:00:00,0.17885184124108808
2010-05-07 00:00:00,0.2121086097646042
2010-05-10 00:00:00,0.21369858750041631
2010-05-11 00:00:00,0.2722235408693541
2010-05-12 00:00:00,0.2721496139816707
2010-05-13 00:00:00,0.2739628328961867
2010-05-14 00:00:00,0.27654716046541733
2010-05-17 00:00:00,0.2781064007796884
2010-05-18 00:00:00,0.2774208460754984
2010-05-19 00:00:00,0.2767872330470616
2010-05-20 00:00:00,0.27681949745551854
2010-05-21 00:00:00,0.300571382713424
2010-05-24 00:00:00,0.3062444452414625
2010-05-25 00:00:00,0.30732630645462794
2010-05-26 00:00:00,0.30069064953937474
2010-05-27 00:00:00,0.297271653123338
2010-05-28 00:00:00,0.3222388804012058
2010-06-01 00:00:00,0.32028822501770654
2010-06-02 00:00:00,0.316875395742062
2010-06-03 00:00:00,0.3279872641767094
2010-06-04 00:00:00,0.3285412458535021
2010-06-07 00:00:00,0.33098874403901657
2010-06-08 00:00:00,0.3299040354478989
2010-06-09 00:00:00,0.2858765475040108
2010-06-10 00:00:00,0.28586603982531217
2010-06-11 00:00:00,0.30335090468799386
2010-06-14 00:00:00,0.3027946408075304
2010-06-15 00:00:00,0.2972163793839255
2010-06-16 00:00:00,0.30970926698532486
2010-06-17 00:00:00,0.30592607046808895
2010-06-18 00:00:00,0.30522679158992727
2010-06-21 00:00:00,0.27002227131953815
